Categoria,Sentencias,Uso
1,detalles denuncia de siniestro,T
1,detalles siniestro a denunciar,T
1,siniestro denunciado detalles,T
1,documentación denuncia de siniestro,T
1,documentación siniestro denunciado,T
1,documentacion denuncia de siniestro,T
1,documentacion siniestro denunciado,T
1,pedido denuncia de siniestro,T
1,pedido denuncia de un siniestro,T
1,quiero denunciar un siniestro,T
1,denuncia incendio,T
1,denuncia incendio auto,T
1,denuncia incendio vehiculo,T
1,denuncia incendio hogar,T
1,denuncia choque,T
1,denuncia golpe,T
1,denuncia de daño ocasionado,T
1,denuncia de daño sufrido,T
1,denuncia daños,T
1,denuncia daños vehiculo,T
1,denuncia daños auto,T
1,denuncia accidente de circulación,T
1,denuncia accidente de circulacion,T
1,denuncia siniestro ocasionado,T
1,denuncia siniestro sucedido,T
1,pruebas denuncia siniestro,T
1,denuncia de siniestro,T
1,denuncia de un siniestro,T
1,siniestro,T
1,denuncia de siniestro,C
1,denuncia de un siniestro,C
1,denuncia siniestro,C
1,solicitud denuncia de siniestro,C
1,solicitud denuncia de un siniestro,C
1,solicitud denuncia siniestro,C
1,solicitud siniestro,C
1,solicitud denuncia,C
1,pedido denuncia de siniestro,C
1,pedido denuncia de un siniestro,C
1,pedido denuncia siniestro,C
1,pedido siniestro,C
1,pedido denuncia,C
1,notificación siniestro,C
1,aviso de siniestro,C
1,siniestro denuncia,C
1,siniestro a denunciar,C
1,reporte denuncia de siniestro,C
1,denuncio un siniestro,C
1,quiero hacer una denuncia de siniestro,C
1,informe siniestro a denunciar,C
1,detalle denuncia de siniestro,C
1,detalle siniestro a denunciar,C
1,detalles denuncia de siniestro,C
1,detalles siniestro a denunciar,C
1,siniestro denunciado detalles,C
1,documentación denuncia de siniestro,C
1,documentación siniestro denunciado,C
1,documentacion denuncia de siniestro,C
1,documentacion siniestro denunciado,C
1,quiero denunciar un siniestro,C
1,denuncia incendio,C
1,denuncia incendio auto,C
1,denuncia incendio vehiculo,C
1,denuncia incendio hogar,C
1,denuncia choque,C
1,denuncia golpe,C
1,denuncia de daño ocasionado,C
1,denuncia de daño sufrido,C
1,denuncia daños,C
1,denuncia daños vehiculo,C
1,denuncia daños auto,C
1,denuncia accidente de circulación,C
1,denuncia accidente de circulacion,C
1,denuncia siniestro ocasionado,C
1,denuncia siniestro sucedido,C
1,pruebas denuncia siniestro,C
1,quiero reportar un siniestro,C
1,siniestro en mi casa,C
1,he tenido un siniestro,C
1,reportar accidente,C
1,necesito denunciar siniestro,C
1,reporte de choque,C
1,notificar accidente,C
1,informar de un siniestro,C
1,aviso de accidente,C
1,choque a reportar,C
1,informe de accidente,C
1,accidente automovilístico,C
1,denuncia accidente,C
1,accidente de tráfico,C
1,daño en el vehículo,C
1,daño en la propiedad,C
1,reporte de daños,C
1,denuncia daños materiales,C
1,siniestro de auto,C
1,daños en mi auto,C
1,accidente en mi hogar,C
1,reportar daños,C
1,informar siniestro de auto,C
1,choque con otro vehículo,C
1,reporte de siniestro de auto,C
1,denuncia de accidente,C
1,daños a terceros,C
1,denuncia por choque,C
1,aviso de daños,C
1,reporte de siniestro de vehículo,C
1,notificación de siniestro,C
1,informar daños,C
1,detalles del siniestro,C
1,denuncia de accidente en casa,C
1,accidente con otro auto,C
1,choque con daños,C
1,informe de daños,C
1,accidente con heridos,C
1,denunciar daños,C
1,aviso de siniestro en casa,C
1,informe siniestro en vehículo,C
1,daño en vivienda,C
1,choque de auto,C
1,informar accidente de auto,C
1,accidente en casa,C
1,denunciar accidente automovilístico,C
1,informe de daños en vehículo,C
1,denuncia accidente de auto,C
1,denuncia por siniestro,C
1,reporte de accidente en auto,C
1,aviso de daños en vehículo,C
1,denuncia de accidente de circulación,C
1,siniestro con daños,C
1,denuncia de choque,C
1,reporte de daño en auto,C
1,choque en la calle,C
1,accidente en la carretera,C
1,informar daño en auto,C
1,accidente con daños a terceros,C
1,denuncia accidente con daños,C
1,aviso accidente de auto,C
1,reporte de siniestro con heridos,C
1,informe de choque,C
1,accidente grave,C
1,denunciar accidente grave,C
1,siniestro con heridos,C
1,aviso de accidente de circulación,C
1,reporte de accidente de tráfico,C
1,informar de choque,C
1,denunciar accidente en carretera,C
1,informe de siniestro con heridos,C
1,aviso de accidente grave,C
1,reporte de siniestro en hogar,C
1,denunciar choque con daños,C
2,cotización de pólizas de auto,T
2,cotización de polizas de auto,T
2,cotizacion de pólizas de auto,T
2,cotizacion de polizas de auto,T
2,polizas de auto,T
2,pólizas de auto,T
2,cotización pólizas auto,T
2,cotización polizas auto,T
2,cotizacion pólizas auto,T
2,cotizacion polizas auto,T
2,polizas auto,T
2,pólizas auto,T
2,solicitar cotización de automóvil,T
2,vehículo poliza,T
2,póliza vehículo,T
2,por favor cotizar poliza auto,T
2,porfavor cotizar poliza auto,T
2,por favor cotizar poliza vehiculo,T
2,cotizar auto,T
2,cotiazión vehículo póliza,T
2,cotiazión vehículo poliza,T
2,envio informacion poliza auto,T
2,envio informacion poliza vehiuclo,T
2,envio informacion póliza automóvil,T
2,informacion poliza auto,T
2,informacion poliza vehiuclo,T
2,informacion póliza automóvil,T
2,documentos poliza auto,T
2,documentos poliza vehiuclo,T
2,documentos póliza automóvil,T
2,solicitud cotización de pólizas de auto,C
2,solicitud cotización de polizas de auto,C
2,solicitud cotizacion de pólizas de auto,C
