
({'text':'quiero un seguro para mi coche. marca: toyota, modelo: corolla, anio: 2020. código postal: 67890.', 'entities': [(69, 73, 'anio'), (90, 95, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: honda, modelo: civic, anio: 2018. código postal: 1414.', 'entities': [(66, 70, 'anio'), (87, 91, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: ford, modelo: focus, anio: 2017. código postal: 2139.', 'entities': [(65, 69, 'anio'), (86, 90, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: nissan, modelo: sentra, anio: 2021. código postal: 67890.', 'entities': [(68, 72, 'anio'), (89, 94, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: chevrolet, modelo: malibu, anio: 2019. código postal: 1425.', 'entities': [(71, 75, 'anio'), (92, 96, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: bmw, modelo: serie 3, anio: 2016. código postal: 12345.', 'entities': [(66, 70, 'anio'), (87, 92, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: audi, modelo: a4, anio: 2022. código postal: 67890.', 'entities': [(62, 66, 'anio'), (83, 88, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: volkswagen, modelo: golf, anio: 2015. código postal: 67890.', 'entities': [(70, 74, 'anio'), (91, 96, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: hyundai, modelo: elantra, anio: 2023. código postal: 67890.', 'entities': [(70, 74, 'anio'), (91, 96, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: kia, modelo: optima, anio: 2014. código postal: 67890.', 'entities': [(65, 69, 'anio'), (86, 91, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: subaru, modelo: impreza, anio: 2020. código postal: 1324.', 'entities': [(69, 73, 'anio'), (90, 94, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: mercedes-benz, modelo: clase c, anio: 2019. código postal: 6543.', 'entities': [(76, 80, 'anio'), (97, 101, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: mazda, modelo: mazda3, anio: 2018. código postal: 2345.', 'entities': [(67, 71, 'anio'), (88, 92, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: lexus, modelo: is, anio: 2021. código postal: 1213.', 'entities': [(63, 67, 'anio'), (84, 88, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: volvo, modelo: s60, anio: 2017. código postal: 4567.', 'entities': [(64, 68, 'anio'), (85, 89, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: tesla, modelo: model 3, anio: 2022. código postal: 1267.', 'entities': [(68, 72, 'anio'), (89, 93, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: jeep, modelo: wrangler, anio: 2019. código postal: 3467.', 'entities': [(68, 72, 'anio'), (89, 93, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: porsche, modelo: macan, anio: 2016. código postal: 2348.', 'entities': [(68, 72, 'anio'), (89, 93, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: cadillac, modelo: ats, anio: 2015. código postal: 67890.', 'entities': [(67, 71, 'anio'), (88, 93, 'cod_postal')]}),
({'text':'quiero un seguro para mi coche. marca: infiniti, modelo: q50, anio: 2023. código postal: 67890.', 'entities': [(67, 71, 'anio'), (88, 93, 'cod_postal')]}),
({'text':'necesito un seguro para mi auto marca peugeot, modelo 208, anio 2022. código postal 1345.', 'entities': [(54, 57, 'modelo'), (63, 67, 'anio'), (83, 87, 'cod_postal')]}),
({'text':'necesito un seguro para mi auto marca fiat, modelo 500, anio 2021. código postal 1345.', 'entities': [(51, 54, 'modelo'), (60, 64, 'anio'), (80, 84, 'cod_postal')]}),
({'text':'necesito un seguro para mi auto marca alfa romeo, modelo giulia, anio 2020. código postal 5432.', 'entities': [(69, 73, 'anio'), (89, 93, 'cod_postal')]}),
